"","term","judge_char","defendant_char","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","sig_level","controls","restriction"
"1","judge_age:defendant_age","judge_age","defendant_age",4.5980753971736e-05,3.33255548802465e-05,1.37974458750845,0.167728538159084,-1.93523442114602e-05,0.000111313852154932,"judgement_convicted_binary","insig","None",""
"2","judge_age:defendant_age","judge_age","defendant_age",4.73024205965093e-05,3.51175245551478e-05,1.34697479949723,0.17805933020302,-2.15460421412708e-05,0.000116150883334289,"judgement_convicted_binary","insig","Pers.",""
"3","judge_age:defendant_age","judge_age","defendant_age",3.87703116387688e-05,2.74813133417048e-05,1.41078816564171,0.158380534544139,-1.51074709756891e-05,9.26480942532268e-05,"judgement_convicted_binary","insig","Conv.",""
"4","judge_age:defendant_age","judge_age","defendant_age",0.00409411034072229,0.0231329713720837,0.176981602357532,0.859531189507656,-0.0412584670088477,0.0494466876902923,"punishment_prison_days","insig","None",""
"5","judge_age:defendant_age","judge_age","defendant_age",0.0065741095949426,0.0239151347875843,0.274893269610823,0.783413245522006,-0.0403136909033392,0.0534619100932244,"punishment_prison_days","insig","Pers.",""
"6","judge_age:defendant_age","judge_age","defendant_age",0.0162974497597096,0.0210748365744454,0.773313221297825,0.439386181371571,-0.025021918399394,0.0576168179188132,"punishment_prison_days","insig","Conv.",""
"7","judge_age:defendant_age","judge_age","defendant_age",-3.30226101055056,1.8990912138713,-1.73886382414402,0.0821467463204865,-7.02570049294618,0.421178471845045,"punishment_fine","*","None",""
"8","judge_age:defendant_age","judge_age","defendant_age",-3.60202933025184,1.99645391476846,-1.80421361274927,0.0712952913555209,-7.51654240676619,0.31248374626252,"punishment_fine","*","Pers.",""
"9","judge_age:defendant_age","judge_age","defendant_age",-3.47242865444822,1.80070528195154,-1.92837144937173,0.0539025441053406,-7.00316073319715,0.0583034243007075,"punishment_fine","*","Conv.",""
"10","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.00105449859283422,0.00123596201530426,-0.853180421224059,0.393603203615332,-0.00347757033607765,0.0013685731504092,"judgement_convicted_binary","insig","None",""
"11","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.00110489489594917,0.00127650604544664,-0.86556182000891,0.386778788770743,-0.00360750520284796,0.00139771541094962,"judgement_convicted_binary","insig","Pers.",""
"12","judge_age:defendant_is_woman","judge_age","defendant_is_woman",7.57479175385746e-05,0.00100297067091284,0.0755235618900339,0.939801718594362,-0.00189060045541611,0.00204209629049326,"judgement_convicted_binary","insig","Conv.",""
"13","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.777879145025963,0.857386450011218,-0.907267831228013,0.364318617741191,-2.4588230300207,0.903064739968774,"punishment_prison_days","insig","None",""
"14","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.723966737355375,0.876096192921632,-0.826355305735401,0.408654669029643,-2.44163313881508,0.993699664104326,"punishment_prison_days","insig","Pers.",""
"15","judge_age:defendant_is_woman","judge_age","defendant_is_woman",-0.361771560209688,0.775477744039942,-0.466514433186692,0.640874643882418,-1.88217482843862,1.15863170801924,"punishment_prison_days","insig","Conv.",""
"16","judge_age:defendant_is_woman","judge_age","defendant_is_woman",136.794892280451,73.5107325915907,1.86088326775972,0.0628485770265013,-7.33578912429047,280.925573685192,"punishment_fine","*","None",""
"17","judge_age:defendant_is_woman","judge_age","defendant_is_woman",127.914714517449,74.6742748971917,1.71296895341209,0.0868186960535864,-18.5016006310955,274.331029665994,"punishment_fine","*","Pers.",""
"18","judge_age:defendant_is_woman","judge_age","defendant_is_woman",181.925725618691,67.5448131994733,2.69340778368027,0.00711165223565292,49.4872632524197,314.364187984962,"punishment_fine","***","Conv.",""
"19","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.000181348012690938,0.000970773634924218,-0.186807723414423,0.851819999692624,-0.0020845526729975,0.00172185664761563,"judgement_convicted_binary","insig","None",""
"20","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.000131766751286825,0.000980422491676243,-0.134397927837764,0.893094210015125,-0.00205390056454726,0.00179036706197362,"judgement_convicted_binary","insig","Pers.",""
"21","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.000713776015867398,0.000769249944103164,-0.927885690910981,0.353519746113026,-0.00222190922439487,0.000794357192660078,"judgement_convicted_binary","insig","Conv.",""
"22","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",0.630475658477488,0.656632015251979,0.960165882614704,0.337031687148318,-0.656901867099963,1.91785318405494,"punishment_prison_days","insig","None",""
"23","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",0.730699907036415,0.664874401547721,1.09900442148993,0.271836055033865,-0.572846929436715,2.03424674350955,"punishment_prison_days","insig","Pers.",""
"24","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",0.742927580327406,0.587285201359436,1.26502009348727,0.205943383187552,-0.408504999642783,1.8943601602976,"punishment_prison_days","insig","Conv.",""
"25","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",32.8115179124631,56.393970795738,0.581826699724837,0.56072493398605,-77.7609991598223,143.384034984748,"punishment_fine","insig","None",""
"26","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",9.72863873309897,55.8731414726194,0.174120131366991,0.861782473287606,-99.8236736456573,119.280951111855,"punishment_fine","insig","Pers.",""
"27","judge_age:defendant_some_foreign_background","judge_age","defendant_some_foreign_background",-0.186374567188455,50.4321990292554,-0.00369554710633063,0.997051630733535,-99.0712863287983,98.6985371944213,"punishment_fine","insig","Conv.",""
"28","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",0.000106388763132501,9.40010830831096e-05,1.1317823118957,0.257781599746583,-7.78957000209045e-05,0.000290673226285907,"judgement_convicted_binary","insig","None",""
"29","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",0.000180360533646175,0.000102505779836124,1.75951574569276,0.0785610518712524,-2.06036702051452e-05,0.000381324737497495,"judgement_convicted_binary","*","Pers.",""
"30","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",0.000135021491710521,8.06804058643462e-05,1.67353510761389,0.0942958514563372,-2.31544045560086e-05,0.00029319738797705,"judgement_convicted_binary","*","Conv.",""
"31","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",-0.170120571551521,0.0647977920767861,-2.62540691741358,0.00868524609951401,-0.297157726873047,-0.0430834162299958,"punishment_prison_days","***","None",""
"32","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",-0.204829694572751,0.0695332626407823,-2.94578000216857,0.00324105973967759,-0.341155990688306,-0.0685033984571961,"punishment_prison_days","***","Pers.",""
"33","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",-0.143017523391112,0.0616670831965638,-2.31918741697647,0.0204387953545123,-0.263922134200126,-0.0221129125820984,"punishment_prison_days","**","Conv.",""
"34","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",-7.65358555420124,5.42211870879779,-1.41154887328135,0.158171826348637,-18.2844234682045,2.97725235980207,"punishment_fine","insig","None",""
"35","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",-6.96103869627578,5.88555078219366,-1.18273360538081,0.237005854142926,-18.5010323464965,4.57895495394498,"punishment_fine","insig","Pers.",""
"36","judge_age:defendant_log_net_income","judge_age","defendant_log_net_income",-6.617081958308,5.33905775904201,-1.23937261160016,0.215303811816014,-17.0856370789512,3.85147316233519,"punishment_fine","insig","Conv.",""
"37","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-0.00100011898276236,0.00111240234097633,-0.899062278028453,0.368663866247386,-0.0031809286233935,0.00118069065786878,"judgement_convicted_binary","insig","None",""
"38","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-0.000924927018857596,0.0012094216875496,-0.764768011339027,0.444451666580521,-0.00329601738027419,0.001446163342559,"judgement_convicted_binary","insig","Pers.",""
"39","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-0.000883933167336974,0.000951934107137408,-0.928565497033275,0.3531672294181,-0.00275022311679889,0.000982356782124944,"judgement_convicted_binary","insig","Conv.",""
"40","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-3.36182243096104,0.767729515790802,-4.37891518017018,1.22111934868022e-05,-4.86696898945583,-1.85667587246625,"punishment_prison_days","***","None",""
"41","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-4.06652628638594,0.819619352990735,-4.96148153596845,7.30352664272474e-07,-5.67346469793575,-2.45958787483612,"punishment_prison_days","***","Pers.",""
"42","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-2.97972408207486,0.727479921890254,-4.09595370595585,4.29386173050603e-05,-4.40602272096385,-1.55342544318587,"punishment_prison_days","***","Conv.",""
"43","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-66.4634988769747,63.8887429881542,-1.04030061898851,0.298272195174757,-191.726501720207,58.799503966258,"punishment_fine","insig","None",""
"44","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-48.3651144633756,68.9477116679857,-0.701475267174571,0.48305935846775,-183.553168103659,86.8229391769074,"punishment_fine","insig","Pers.",""
"45","judge_age:case_is_not_oslo","judge_age","case_is_not_oslo",-39.7152480671313,62.5054527136535,-0.635388535606207,0.525223166769314,-162.272786607611,82.8422904733483,"punishment_fine","insig","Conv.",""
"46","judge_age:defendant_is_married","judge_age","defendant_is_married",0.000804011503640315,0.00147502844902335,0.545082031585677,0.585723241928948,-0.00208774383434943,0.00369576684163006,"judgement_convicted_binary","insig","None",""
"47","judge_age:defendant_is_married","judge_age","defendant_is_married",0.00101245141711231,0.0015881512225033,0.637503156353368,0.523831096635677,-0.00210114419219011,0.00412604702641474,"judgement_convicted_binary","insig","Pers.",""
"48","judge_age:defendant_is_married","judge_age","defendant_is_married",0.000996401531681592,0.00124469390947722,0.800519327759934,0.423454874052793,-0.00144385112445997,0.00343665418782315,"judgement_convicted_binary","insig","Conv.",""
"49","judge_age:defendant_is_married","judge_age","defendant_is_married",2.25694706273937,1.02762946382222,2.19626542659137,0.0281288762659345,0.242234253562388,4.27165987191635,"punishment_prison_days","**","None",""
"50","judge_age:defendant_is_married","judge_age","defendant_is_married",2.46602841604186,1.0941207832185,2.25389047888088,0.024260048835194,0.320904942549841,4.61115188953388,"punishment_prison_days","**","Pers.",""
"51","judge_age:defendant_is_married","judge_age","defendant_is_married",2.24916749506085,0.965819876885341,2.32876496838537,0.0199248401405353,0.355579047651707,4.14275594246999,"punishment_prison_days","**","Conv.",""
"52","judge_age:defendant_is_married","judge_age","defendant_is_married",-207.69193707884,85.6655633583456,-2.42445072368285,0.0153843606800115,-375.654295559971,-39.729578597708,"punishment_fine","**","None",""
"53","judge_age:defendant_is_married","judge_age","defendant_is_married",-221.11020641072,90.5535690819868,-2.44176136459655,0.0146715943727215,-398.661577706758,-43.5588351146822,"punishment_fine","**","Pers.",""
"54","judge_age:defendant_is_married","judge_age","defendant_is_married",-136.523231508934,81.8136317420478,-1.66871007437222,0.0952784737463179,-296.93927347086,23.8928104529923,"punishment_fine","*","Conv.",""
"55","judge_is_woman:defendant_age","judge_is_woman","defendant_age",0.0013447845074053,0.000852226220142034,1.57796659574869,0.114638499999758,-0.000325965140814957,0.00301553415562555,"judgement_convicted_binary","insig","None",""
"56","judge_is_woman:defendant_age","judge_is_woman","defendant_age",0.00171036735936724,0.000893090653095531,1.91511058081165,0.0555446721502929,-4.0551002049388e-05,0.00346128572078386,"judgement_convicted_binary","*","Pers.",""
"57","judge_is_woman:defendant_age","judge_is_woman","defendant_age",0.00178705140996666,0.000700896547043623,2.54966502189864,0.0108175823339039,0.000412926697392135,0.00316117612254118,"judgement_convicted_binary","**","Conv.",""
"58","judge_is_woman:defendant_age","judge_is_woman","defendant_age",0.0403062544629621,0.603879108481105,0.0667455686028643,0.9467873814914,-1.14361063800249,1.22422314692841,"punishment_prison_days","insig","None",""
"59","judge_is_woman:defendant_age","judge_is_woman","defendant_age",0.165235114307637,0.616875432707671,0.267858153440096,0.788823104965426,-1.04420537089107,1.37467559950635,"punishment_prison_days","insig","Pers.",""
"60","judge_is_woman:defendant_age","judge_is_woman","defendant_age",0.0556567456696836,0.545683350611527,0.10199458276913,0.918766473581843,-1.01421115971426,1.12552465105363,"punishment_prison_days","insig","Conv.",""
"61","judge_is_woman:defendant_age","judge_is_woman","defendant_age",29.2853110977988,49.5139502061408,0.5914557609699,0.554253548773563,-67.7940514721443,126.364673667742,"punishment_fine","insig","None",""
"62","judge_is_woman:defendant_age","judge_is_woman","defendant_age",38.2338768615996,51.7860560388237,0.738304473948274,0.460385589513899,-63.3047522274625,139.772505950662,"punishment_fine","insig","Pers.",""
"63","judge_is_woman:defendant_age","judge_is_woman","defendant_age",19.9642509998992,46.8362692913736,0.426256217712376,0.66995152607066,-71.8699431313904,111.798445131189,"punishment_fine","insig","Conv.",""
"64","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",0.0177323646169387,0.0310611954878437,0.570884807826489,0.568105000057652,-0.0431621282704044,0.0786268575042817,"judgement_convicted_binary","insig","None",""
"65","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",0.0222432456865937,0.0323116127023597,0.688397880090005,0.491239394306527,-0.0411041824512446,0.0855906738244319,"judgement_convicted_binary","insig","Pers.",""
"66","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",-0.00457527809493655,0.0253336903550615,-0.180600537498179,0.856689775456102,-0.0542425936558937,0.0450920374660206,"judgement_convicted_binary","insig","Conv.",""
"67","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",-4.58909378649386,21.7057364162054,-0.211423086436619,0.83256754747424,-47.1439936456919,37.9658060727042,"punishment_prison_days","insig","None",""
"68","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",3.93167581935155,22.2467526490316,0.176730324707534,0.859729678135868,-39.6851095012125,47.5484611399156,"punishment_prison_days","insig","Pers.",""
"69","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",12.1010349749433,19.6344433155209,0.616316682906793,0.537723251497839,-26.3942951827667,50.5963651326533,"punishment_prison_days","insig","Conv.",""
"70","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",-892.899185061282,1843.74091026976,-0.484286691306666,0.628213871849362,-4507.8625333965,2722.06416327394,"punishment_fine","insig","None",""
"71","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",-920.642637624589,1881.9313243507,-0.48920097439912,0.624734186609412,-4610.60749169796,2769.32221644878,"punishment_fine","insig","Pers.",""
"72","judge_is_woman:defendant_is_woman","judge_is_woman","defendant_is_woman",-2384.49137671561,1697.34168673643,-1.40483875188407,0.160172044910154,-5712.55333223078,943.570578799557,"punishment_fine","insig","Conv.",""
"73","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",-0.0330602493072628,0.0240401717280244,-1.37520853350325,0.169135952504884,-0.0801909247995112,0.0140704261849856,"judgement_convicted_binary","insig","None",""
"74","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",-0.0373038523837109,0.0245127557284209,-1.52181389954699,0.128129247443001,-0.0853614979822274,0.0107537932148055,"judgement_convicted_binary","insig","Pers.",""
"75","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",-0.0224076087736771,0.0192746951013801,-1.16254024542638,0.245081592414744,-0.0601961169035324,0.0153808993561782,"judgement_convicted_binary","insig","Conv.",""
"76","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",13.4747225751076,16.4336000706517,0.819949525190878,0.412294721547439,-18.7444873230093,45.6939324732246,"punishment_prison_days","insig","None",""
"77","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",9.92469785561176,16.8045510692236,0.590595834112356,0.554826526934192,-23.0221554653237,42.8715511765472,"punishment_prison_days","insig","Pers.",""
"78","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",10.5719791544597,14.8848823725629,0.710249425547821,0.477594008818896,-18.6113519989902,39.7553103079096,"punishment_prison_days","insig","Conv.",""
"79","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",-606.619535248783,1407.37011997021,-0.431030563062987,0.666475225564061,-3366.05963770098,2152.82056720341,"punishment_fine","insig","None",""
"80","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",-799.164936999855,1413.95405853174,-0.565198658455506,0.57197973445051,-3571.55132206447,1973.22144806476,"punishment_fine","insig","Pers.",""
"81","judge_is_woman:defendant_some_foreign_background","judge_is_woman","defendant_some_foreign_background",369.387164155087,1280.37842199529,0.288498429690379,0.772985024899133,-2141.11425592037,2879.88858423054,"punishment_fine","insig","Conv.",""
"82","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",0.00492926645578494,0.00236019637019006,2.08849844785923,0.0368040007525748,0.000302232205626414,0.00955630070594347,"judgement_convicted_binary","**","None",""
"83","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",0.00505823627416891,0.00256062355317724,1.97539238748805,0.048287484334277,3.80932680878535e-05,0.01007837928025,"judgement_convicted_binary","**","Pers.",""
"84","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",0.0019292752714581,0.00201594356693005,0.957008570629814,0.338617555802576,-0.00202303107982687,0.00588158162274306,"judgement_convicted_binary","insig","Conv.",""
"85","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",-1.56541388150635,1.64245404873898,-0.953094476346673,0.34059518493189,-4.78546103241033,1.65463326939764,"punishment_prison_days","insig","None",""
"86","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",-1.17584885390479,1.74973628863266,-0.672014898212839,0.50161523892954,-4.60636625448429,2.25466854667472,"punishment_prison_days","insig","Pers.",""
"87","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",-2.2435038672155,1.55085616534248,-1.44662278640138,0.148086875073269,-5.28411567130907,0.797107936878072,"punishment_prison_days","insig","Conv.",""
"88","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",30.1060156043481,135.683508935112,0.22188411724188,0.824416908218627,-235.919834711681,296.131865920377,"punishment_fine","insig","None",""
"89","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",74.3589035625167,146.806582731058,0.506509327982507,0.612535327362451,-213.489608024971,362.207415150005,"punishment_fine","insig","Pers.",""
"90","judge_is_woman:defendant_log_net_income","judge_is_woman","defendant_log_net_income",149.126064546481,132.953738322673,1.12163874764137,0.262105214342124,-111.562918592786,409.815047685748,"punishment_fine","insig","Conv.",""
"91","judge_is_woman:case_is_not_oslo","judge_is_woman","case_is_not_oslo",-0.0291555892480049,0.0279594646883837,-1.04278066740377,0.297100945495707,-0.0839685710673235,0.0256573925713137,"judgement_convicted_binary","insig","None",""
"92","judge_is_woman:case_is_not_oslo","judge_is_woman","case_is_not_oslo",-0.031760424612036,0.0303981907183907,-1.04481299253186,0.296168139443563,-0.0913565586642657,0.0278357094401937,"judgement_convicted_binary","insig","Pers.",""
"93","judge_is_woman:case_is_not_oslo","judge_is_woman","case_is_not_oslo",-0.00527307961697021,0.0238766874060593,-0.22084636479481,0.825222707071254,-0.0520839054905937,0.0415377462566533,"judgement_convicted_binary","insig","Conv.",""
"94","judge_is_woman:case_is_not_oslo","judge_is_woman","case_is_not_oslo",27.8835755875991,19.4988869420443,1.43000857794992,0.152786408163615,-10.3441820727962,66.1113332479944,"punishment_prison_days","insig","None",""
