"","circ_group_2","n","sum"
"1","aggravating_cause_personal_gain",6,93
"2","aggravating_cause_revenge",2,3
"3","aggravating_cause_sexual",3,3
"4","aggravating_driving_accident",8,30
"5","aggravating_driving_busy",16,51
"6","aggravating_driving_children",1,1
"7","aggravating_driving_day",2,5
"8","aggravating_driving_distance",14,24
"9","aggravating_driving_drugs",4,940
"10","aggravating_driving_failed_to_stop",14,16
"11","aggravating_driving_illegal_parking",1,1
"12","aggravating_driving_intoxication",6,12
"13","aggravating_driving_license",4,605
"14","aggravating_driving_license_plate",8,9
"15","aggravating_driving_negligence",1,1
"16","aggravating_driving_negligent",1,144
"17","aggravating_driving_no_car_insurance",1,1
"18","aggravating_driving_other",1,3
"19","aggravating_driving_passengers",14,52
"20","aggravating_driving_phone",4,9
"21","aggravating_driving_reckless",7,7
"22","aggravating_driving_road_traffic_act",2,2
"23","aggravating_driving_speed",17,42
"24","aggravating_driving_state_of_vehicle",2,2
"25","aggravating_drugs_consumption",2,2
"26","aggravating_drugs_delivery",1,1
"27","aggravating_drugs_import",1,6
"28","aggravating_drugs_possession",3,16
"29","aggravating_drugs_production",1,1
"30","aggravating_drugs_sale",9,91
"31","aggravating_drugs_storage",3,3
"32","aggravating_life_health_assault",1,1
"33","aggravating_life_health_death",1,7
"34","aggravating_life_health_intent",1,1
"35","aggravating_life_health_mistreatment",1,7
"36","aggravating_life_health_negligence",9,65
"37","aggravating_life_health_no_condom",4,5
"38","aggravating_life_health_psychological",13,50
"39","aggravating_life_health_violence",34,83
"40","aggravating_object_dangerous",5,130
"41","aggravating_object_knife",7,45
"42","aggravating_object_weapon",21,45
"43","aggravating_obstruction_arrest",1,1
"44","aggravating_organized_leadership",3,6
"45","aggravating_place_private",18,266
"46","aggravating_place_public",9,317
"47","aggravating_place_work",1,1
"48","aggravating_premeditated_murder",1,1
"49","aggravating_severe_abuse",15,186
"50","aggravating_severe_aggressive",4,4
"51","aggravating_severe_busy",1,1
"52","aggravating_severe_damage",25,62
"53","aggravating_severe_family_present",1,1
"54","aggravating_severe_financial",1,1
"55","aggravating_severe_intent",2,3
"56","aggravating_severe_lack_respect",1,163
"57","aggravating_severe_long_time",13,158
"58","aggravating_severe_murderous_intent",1,1
"59","aggravating_severe_psychological",1,1
"60","aggravating_severe_several_victims",4,7
"61","aggravating_severe_unprovoked",2,232
"62","aggravating_severe_violence",1,1
"63","aggravating_threats_abduction",1,1
"64","aggravating_threats_children",1,1
"65","aggravating_threats_death",1,107
"66","aggravating_threats_harassment",1,1
"67","aggravating_threats_official",1,119
"68","aggravating_threats_violence",1,2
"69","aggravating_victim_age_difference",5,21
"70","aggravating_victim_dependence",1,1
"71","aggravating_victim_power",12,140
"72","aggravating_victim_pregnant",1,1
"73","aggravating_victim_psychological",1,2
"74","aggravating_victim_relationship",14,212
"75","aggravating_victim_underaged",18,25
"76","aggravating_victim_vulnerable",13,325
"77","aggravating_violation_activity_bans",1,2
"78","aggravating_violation_arms_act",1,2
"79","aggravating_violation_assault",1,4
"80","aggravating_violation_attempted_theft",1,2
"81","aggravating_violation_bestiality",1,1
"82","aggravating_violation_burglary",1,1
"83","aggravating_violation_covid",2,2
"84","aggravating_violation_curfew",1,1
"85","aggravating_violation_danger_to_environment",1,1
"86","aggravating_violation_depictions_sexual_abuse",1,1
"87","aggravating_violation_deprivation_of_liberty",2,23
"88","aggravating_violation_disorderly",4,25
"89","aggravating_violation_domestic_violence",1,2
"90","aggravating_violation_doping",1,2
"91","aggravating_violation_endangered_species",1,2
"92","aggravating_violation_evasion",6,7
"93","aggravating_violation_extortion",1,4
"94","aggravating_violation_failure_to_appear_in_court",2,3
"95","aggravating_violation_false_statement",3,3
"96","aggravating_violation_filming",11,13
"97","aggravating_violation_fraud",42,171
"98","aggravating_violation_games_act",1,5
"99","aggravating_violation_harassment",3,3
"100","aggravating_violation_health_personnel",1,2
"101","aggravating_violation_identification",9,21
"102","aggravating_violation_impersonate_police",1,1
"103","aggravating_violation_incest",3,3
"104","aggravating_violation_intoxication",1,1
"105","aggravating_violation_lack_of_consent",1,1
"106","aggravating_violation_medicines_act",3,7
"107","aggravating_violation_negligence",1,1
"108","aggravating_violation_objects_sexual",1,1
"109","aggravating_violation_offensive_image",1,1
"110","aggravating_violation_official",23,265
"111","aggravating_violation_parole",8,59
"112","aggravating_violation_planned_sale_illegal",1,1
"113","aggravating_violation_police_act",1,3
"114","aggravating_violation_police_orders",2,5
"115","aggravating_violation_possession_illegal_items",1,56
"116","aggravating_violation_prevented_victim_contact_police",1,1
"117","aggravating_violation_privacy",2,2
"118","aggravating_violation_prohibited_goods",1,1
"119","aggravating_violation_prostitution",1,1
"120","aggravating_violation_rape",2,37
"121","aggravating_violation_restraining",1,117
"122","aggravating_violation_road_traffic_act",5,5
"123","aggravating_violation_robbery",4,13
"124","aggravating_violation_sentences_act",1,3
"125","aggravating_violation_sexual",2,2
"126","aggravating_violation_sexual_comments",1,1
"127","aggravating_violation_sharing_abuse_material",4,8
"128","aggravating_violation_shots",1,4
"129","aggravating_violation_stolen_plates",1,1
"130","aggravating_violation_stolen_vehicles",1,1
"131","aggravating_violation_theft",17,53
"132","aggravating_violation_trespassing",3,4
"133","aggravating_violation_vandalism",1,91
"134","aggravating_violation_violence",2,2
"135","aggravating_violation_weapon",3,11
"136","aggravating_violation_weapon_import",1,1
"137","aggravating_violation_weapon_possession",4,4
"138","aggravating_violation_weapon_production",1,1
"139","aggravating_violation_weapon_sale",1,1
"140","aggravating_violation_weapon_storage",4,4
"141","mitigating_burden_challenges",5,170
"142","mitigating_burden_children",1,36
"143","mitigating_burden_difficult_context",1,1
"144","mitigating_burden_financial",3,3
"145","mitigating_burden_health",2,149
"146","mitigating_burden_vulnerable",1,6
"147","mitigating_cause_compulsion",1,8
"148","mitigating_cause_dependence",1,1
"149","mitigating_cause_impulsive",1,2
"150","mitigating_cause_pressure",3,4
"151","mitigating_cause_provoked",10,258
"152","mitigating_cause_retaliation",1,1
"153","mitigating_confession_aided_law_enforcement",12,23
"154","mitigating_confession_apology",1,1
"155","mitigating_confession_limited",4,35
"156","mitigating_confession_regret",3,164
"157","mitigating_mental_impulsive",1,1
"158","mitigating_mental_substance_abuse",7,25
"159","mitigating_minor_damage",1,55
"160","mitigating_minor_driving",2,2
"161","mitigating_minor_drugs",1,1
"162","mitigating_minor_ignorant",2,15
"163","mitigating_minor_impulsive",3,3
"164","mitigating_minor_intoxication",2,64
"165","mitigating_minor_limited_self_interest",1,1
"166","mitigating_minor_negligence",1,8
"167","mitigating_minor_no_financial_gain",1,3
"168","mitigating_minor_no_intent",1,1
"169","mitigating_minor_no_personal_gain",1,1
"170","mitigating_minor_no_premeditation",1,1
"171","mitigating_minor_no_threats",1,1
"172","mitigating_minor_personl_use",1,1
"173","mitigating_minor_role",2,38
"174","mitigating_minor_short_distance",1,1
"175","mitigating_minor_single_event",1,1
"176","mitigating_minor_spread",1,1
"177","mitigating_minor_unprofessional",1,1
"178","mitigating_potential_rehabilitation_potential",1,1
