"","char","mean_sentence_length_0","mean_sentence_length_1","count_0","count_1","Difference","regression_all_data_days","regression_all_data_days_sig_level","regression_all_data_days_conf_low","regression_all_data_days_conf_high","regression_prison_only_days","regression_prison_only_days_sig_level","regression_prison_only_days_conf_low","regression_prison_only_days_conf_high","regression_prison_only_percentage","regression_prison_only_percentage_sig_level","regression_prison_only_percentage_conf_low","regression_prison_only_percentage_conf_high"
"1","convicted_stay_of_execution_.conditional_imprisonment_.",80.2595419847328,58.8928571428572,131,28,-21.3666848418757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","convicted_bodily_injury",177.611940298507,168.214285714286,268,14,-9.3976545842217,-19.2958987722493,"insig",-107.57963371365,68.9878361691512,18.8624347007249,"insig",-75.9220309267109,113.646900328161,8.4675403459304,"insig",-0.353838580846474,0.516400130675153
"3","convicted_drug_offense",173.511904761905,207.943396226415,504,53,34.4314914645103,15.2176632754389,"insig",-40.6389545423256,71.0742810932035,46.1552532662883,"insig",-22.1868769993654,114.497383531942,47.5645467960558,"**",0.0162246602783377,0.761966338656571
"4","convicted_illegal_arming_in_a_public_place",139.152941176471,119.4,170,10,-19.7529411764706,16.6475139669491,"insig",-80.0717360132504,113.366763947149,-44.9459169628887,"insig",-170.956064221087,81.0642302953092,-58.4827194668562,"**",-1.60324099448845,-0.154879899575911
"5","convicted_participation",220.582474226804,268.217391304348,194,23,47.6349170775438,114.779703525722,"insig",-53.5102507484437,283.069657799888,68.1509419662293,"insig",-100.025865698295,236.327749630753,-17.7528554214805,"insig",-0.672285160383957,0.281402133752314
"6","convicted_courtesy",148.666666666667,114,75,8,-34.6666666666667,-99.6504084265699,"**",-194.957885787197,-4.34293106594258,-195.311785343508,"**",-376.414644200927,-14.2089264860883,-63.7760105413972,"***",-1.67489230499733,-0.356004883829269
"7","convicted_general_violation_of_traffic_act_1",54.3393501805055,38.6968325791855,1662,221,-15.6425176013199,40.8102633954779,"insig",-15.6038219479485,97.2243487389043,51.9965255651549,"insig",-16.3971193843992,120.390170514709,8.19114564872934,"insig",-0.304134230051427,0.461592917820888
"8","convicted_drinking_within_six_hours_of_traffic_investigation",55.7696160267112,36.0872093023256,1198,172,-19.6824067243856,-22.3443392694692,"insig",-57.0724598245594,12.383781285621,-13.0042336849236,"insig",-48.9280351823238,22.9195678124766,-9.24151876519515,"insig",-0.395344165250439,0.201407645096157
"9","convicted_acquisition_possession_and_use_of_drugs",79.7009345794393,74.04,428,50,-5.66093457943926,-100.420761744784,"insig",-646.201619965652,445.360096476083,-106.862498222419,"insig",-615.770073541225,402.045077096388,-46.3555873159319,"insig",-3.07903981725294,1.83345408494389
"10","convicted_section_24_of_the_medicines_act_other",75.6274038461539,77.1702127659575,416,47,1.54280891980359,140.173535378764,"insig",-340.975171099704,621.322241857232,136.297281020173,"insig",-321.357596168382,593.952158208727,89.0162245596433,"insig",-1.52020041832457,2.79352575756069
"11","convicted_sentencing_beyond_the_maximum_sentence_.multiple_offences_repeat_offences_organized_crime.",108.915974145891,60.8544303797468,1083,158,-48.0615437661442,-15.6294402490581,"insig",-53.554183185417,22.2953026873008,-17.8965341113858,"insig",-60.2333772434268,24.4403090206553,-12.3783362379632,"insig",-0.316719736970491,0.0524359061693954
"12","convicted_road_traffic_act_other_1",43.7532467532467,52.8666666666667,231,15,9.11341991341992,-7.72561994505544,"insig",-86.9083734674676,71.4571335773567,NA,"insig",NA,NA,NA,"insig",NA,NA
"13","convicted_violating_traffic_signage_act",42.9497716894977,52.8666666666667,219,15,9.91689497716896,NA,"insig",NA,NA,44.2913886782795,"insig",-10.1967818457803,98.7795592023392,33.9047294487302,"insig",-0.234952342068448,0.818869115743551
"14","convicted_temporary_suspension_of_driving_lisence",84.2471098265896,76.2222222222223,692,63,-8.02488760436731,2.24433168909071,"insig",-28.865825465253,33.3544888434344,-4.90740347836938,"insig",-40.6909797371258,30.876172780387,-1.43835592172402,"insig",-0.270784898348434,0.241808887642421
"15","convicted_assault_and_battery",91.970695970696,29.1333333333333,546,45,-62.8373626373626,-6.96630077387417,"insig",-42.9516113649709,29.0190098172226,4.15895986591027,"insig",-42.9283458397799,51.2462655716005,-6.04449487608649,"insig",-0.355609702039658,0.230911970981568
"16","convicted_reckless_behavior",93.3861386138614,37.6875,101,16,-55.6986386138614,-30.5305725081551,"insig",-97.4756216868105,36.4144766705003,-38.9220475051998,"insig",-135.158159007216,57.3140639968167,-26.6432409490835,"insig",-0.825811230896217,0.206140155474139
"17","convicted_violation_of_residence_and_contact_prohibition_or_decision_on_restraint",155.589928057554,166.666666666667,139,6,11.0767386091128,100.978968292877,"**",5.22587212870243,196.732064457052,60.9438829469469,"insig",-51.3061153630731,173.193881256967,13.6008220786451,"insig",-0.609331395470237,0.86437250923137
"18","convicted_damage",102.467105263158,37.6,152,25,-64.8671052631579,-9.69861739826495,"insig",-76.4772696177065,57.0800348211766,13.3588944453116,"insig",-100.263283738253,126.981072628876,22.3274529650819,"insig",-0.47827243551618,0.881335043191622
"19","convicted_threats",92.7854251012146,50.0526315789474,247,19,-42.7327935222672,18.9264519912944,"insig",-40.1921280754754,78.0450320580642,30.5584906986865,"insig",-45.1525596252794,106.269541022652,-6.77874389348634,"insig",-0.606012029866385,0.465623188890118
"20","convicted_grievous_bodily_harm",436.595744680851,780,47,1,343.404255319149,438.394973786549,"***",280.980860608189,595.80908696491,375.72577243282,"***",203.43018846416,548.021356401479,93.0279404755693,"**",0.0112378176407061,1.30409170584369
"21","convicted_serious_drug_offense",598.048780487805,513.333333333333,123,18,-84.7154471544716,-126.519516657684,"insig",-441.784609311585,188.745575996217,-66.6191401029794,"insig",-427.147382994372,293.909102788413,-0.78071917601884,"insig",-0.624904720673185,0.609229065796462
"22","convicted_aggravated_assault",125.338028169014,0,71,1,-125.338028169014,-38.4079410280703,"insig",-89.7231760280403,12.9072939718996,NA,"insig",NA,NA,NA,"insig",NA,NA
"23","convicted_intention_of_committing_an_offens",198.365384615385,140,52,6,-58.3653846153846,-83.298250881952,"insig",-241.231821829324,74.6353200654197,-88.3247887200122,"insig",-366.680797345495,190.031219905471,-36.4042199076736,"insig",-1.67670293343003,0.771456796244211
"24","convicted_theft",119.834586466165,87.3571428571428,266,42,-32.4774436090226,-14.6972053925877,"insig",-68.7616200696087,39.3672092844333,-35.2877610222511,"insig",-118.674422932799,48.0989008882973,-18.4764472769147,"insig",-0.657680834568225,0.24912440052088
"25","convicted_road_traffic_act_other_5",131.990099009901,81.2857142857143,101,7,-50.7043847241867,34.8626928415729,"insig",-50.1889617259555,119.914347409101,7.2153147258732,"insig",-89.2934056800924,103.724035131839,9.51387759234035,"insig",-0.543900776809847,0.725662959292334
"26","convicted_violating_basic_traffic_rules",82.8333333333333,32.9130434782609,228,23,-49.9202898550725,-7.91393145511759,"insig",-36.3294219390476,20.5015590288124,-16.7455565701884,"insig",-53.3287445494367,19.8376314090599,-8.20899530169957,"insig",-0.329538182791204,0.158226420393742
"27","convicted_loss_of_the_right_to_drive_a_motor_vehicle.",37.2170212765957,31.7333333333333,235,30,-5.48368794326241,1.33001938667166,"insig",-25.6749449993016,28.3349837726449,0.200501458712278,"insig",-27.4369053585369,27.8379082759615,2.379008486318,"insig",-0.19135944994753,0.238382470651764
"28","convicted_obstruction_of_a_public_official",60.093023255814,34.04,172,25,-26.053023255814,-9.03039021395024,"insig",-45.4507866243553,27.3900061964548,-1.46840997502324,"insig",-55.4831610986716,52.5463411486251,-9.61422936140466,"insig",-0.439405526757185,0.237238855917872
"29","convicted_aggravated_theft",214.578947368421,177.5,57,12,-37.078947368421,26.0142545562655,"insig",-99.5300202869006,151.558529399432,114.62109324701,"*",-18.8900394163838,248.132225910404,216.804124421124,"***",0.435348407804214,1.8708785779428
"30","convicted_fraud",75.3777777777778,42.6760563380282,180,71,-32.7017214397496,-6.00718194274168,"insig",-67.7810385837309,55.7666746982475,0.79340481533145,"insig",-86.4957017130991,88.082511343762,-8.93180641371258,"insig",-0.678846120445657,0.491722960351267
"31","convicted_judgment_in_arrears",196.509090909091,89.5,55,4,-107.009090909091,-68.6901775290243,"insig",-272.047216697473,134.666861639424,28.321384962756,"insig",-533.305177712704,589.947947638216,113.358107530145,"insig",-1.58775349038385,3.10335713838908
"32","convicted_abuse_in_close_relationships",447.551020408163,176.823529411765,49,17,-270.727490996399,-286.120921570772,"***",-439.551682675132,-132.690160466412,-226.733606303896,"**",-392.17968171164,-61.2875308961519,-46.3639282144277,"insig",-1.45544616926633,0.209549442891443
"33","convicted_violence_threats_vandalism_or_other_unlawful_conduct_against_a_public_official",61.0676691729323,28.6960784313726,532,102,-32.3715907415598,17.2104719609418,"insig",-21.1458689991814,55.566812921065,28.0416372908266,"insig",-22.6013227461755,78.6845973278287,-2.46528936695626,"insig",-0.303490151192587,0.253566421498969
"34","convicted_violation_of_police_act",76.4453125,30.6842105263158,128,19,-45.7611019736842,2.4760436051212,"insig",-45.0977556235745,50.0498428338169,9.7586083712977,"insig",-61.3462094846152,80.8634262272106,30.4766249341741,"insig",-0.189042333059464,0.721090143964512
"35","convicted_serious_fraud",119.9,71,70,26,-48.9,-37.4515542079602,"insig",-114.730294201976,39.8271857860552,-4.87389406319992,"insig",-102.229478503842,92.4816903774421,-3.22242918808726,"insig",-0.583424879032572,0.51791502894825
"36","convicted_disorderly_conduct",52.4453781512605,14.5238095238095,119,21,-37.921568627451,9.7181522576205,"insig",-34.3830409336017,53.8193454488427,-19.4485396387199,"insig",-89.3204722735964,50.4233929961567,-15.0662269627985,"insig",-0.655557271570914,0.328960523721955
"37","convicted_minor_theft",92.015873015873,73.6470588235294,63,17,-18.3688141923436,-11.1898856287481,"insig",-80.7748798912407,58.3951086337445,32.1457186359109,"insig",-68.1411469573403,132.432584229162,55.3621787515885,"insig",-0.227379257198642,1.10855694189231
"38","convicted_unauthorized_entry_or_stay",129.746031746032,55.2666666666667,63,15,-74.479365079365,9.81124300310068,"insig",-69.8868518887603,89.5093378949616,37.5574160733358,"insig",-68.2658546645635,143.380686811235,5.77124570526177,"insig",-0.599155697166431,0.711372730714195
"39","convicted_theft_of_motor_vehicles_etc",154.764705882353,116,68,5,-38.7647058823529,-30.4894014425297,"insig",-171.914202930288,110.935400045228,-84.0073109352923,"insig",-248.067728144648,80.053106274063,-0.201501259928738,"insig",-1.0252590877614,1.02122499682445
"40","convicted_road_traffic_act_other_4",102.327272727273,52.8,55,5,-49.5272727272727,-11.9478423292438,"insig",-87.6112759722992,63.7155913138115,-0.126029479276028,"insig",-86.606497015806,86.354438057254,-29.8424573652955,"insig",-1.19858103952776,0.489727312130654
"41","convicted_incorrect_explanation",41.8141592920354,29.0769230769231,113,52,-12.7372362151123,63.8989609918071,"insig",-13.3958106400455,141.19373262366,60.3788783926325,"insig",-45.6678271989182,166.425583984183,32.5631021464613,"insig",-0.375416298312304,0.939193475683236
"42","convicted_document_forgery",137.384615384615,85.4444444444444,39,9,-51.9401709401709,-36.266672574612,"insig",-143.313565318617,70.780220169393,-61.8455914311333,"insig",-199.339749615864,75.6485667535971,-21.6514824324034,"insig",-1.14436172971493,0.656355453698193
"43","convicted_breach_of_the_duty_of_identification",85.7073170731707,53.9230769230769,82,13,-31.7842401500938,-22.4254667818665,"insig",-107.340434839073,62.4895012753401,-32.9987829065766,"insig",-191.446778036004,125.44921222285,-4.91241568668518,"insig",-1.00275671386437,0.902013155918017
"44","convicted_violation_in_prison",73,21.1666666666667,41,6,-51.8333333333333,61.1674306703155,"insig",-24.6948697476238,147.029731088255,42.9060510700164,"insig",-63.6229191035979,149.435021243631,-23.055041746963,"insig",-1.16013230872216,0.635972613465528
